"","Depth","Year","mean_LACO","se_LACO"
"1","deep",2000,13.0540540540541,1.34228187783285
"2","deep",2001,35.5405405405405,6.1323729411853
"3","deep",2002,240.837837837838,69.0403493626038
"4","deep",2003,332,87.3760039488306
"5","deep",2004,323.135135135135,112.248692697312
"6","deep",2005,266.108108108108,74.057448520436
"7","deep",2006,39.2702702702703,24.7819514584922
"8","deep",2007,177.054054054054,65.5278858406226
"9","deep",2008,23.1891891891892,11.9828980886662
"10","deep",2009,41.5945945945946,27.0823585260317
"11","deep",2010,11.1081081081081,9.45383788344195
"12","deep",2011,18.1351351351351,12.8881863965352
"13","deep",2012,5.05405405405405,3.30890734030218
"14","deep",2013,1.18918918918919,0.849693318493354
"15","deep",2014,0.108108108108108,0.084751746496517
"16","deep",2015,3.43243243243243,2.24930437713347
"17","deep",2016,53.1351351351351,40.7894167617411
"18","deep",2017,1.02702702702703,1.02702702702703
"19","medium",2000,10.9605263157895,1.14193446050815
"20","medium",2001,33.3684210526316,6.42407320382968
"21","medium",2002,122.947368421053,28.9402281464888
"22","medium",2003,225.881578947368,49.6264642440933
"23","medium",2004,171.986842105263,46.7123203757272
"24","medium",2005,355.197368421053,97.3726987561994
"25","medium",2006,50.8552631578947,27.4832944726292
"26","medium",2007,152.263157894737,44.9344995752435
"27","medium",2008,24.75,11.3956766963801
"28","medium",2009,49.0131578947368,23.4385908610404
"29","medium",2010,24.4342105263158,20.0672407873193
"30","medium",2011,12.2894736842105,10.0333796546603
"31","medium",2012,3.34210526315789,1.73675970033116
"32","medium",2013,0.684210526315789,0.607904230198523
"33","medium",2014,0.986842105263158,0.897069971464143
"34","medium",2015,3.5,3.29340116415692
"35","medium",2016,11.3289473684211,9.3328581612982
"36","medium",2017,1.31578947368421,1.03605366763313
"37","shallow",2000,6.17241379310345,1.34096958297206
"38","shallow",2001,9.24137931034483,1.56678514659811
"39","shallow",2002,8.89655172413793,5.19812983317343
"40","shallow",2003,7.17241379310345,3.96259262467841
"41","shallow",2004,0.96551724137931,0.622807007050543
"42","shallow",2005,4.79310344827586,3.21763127326634
"43","shallow",2006,0.310344827586207,0.2767841731602
"44","shallow",2007,0,0
"45","shallow",2008,0,0
"46","shallow",2009,0,0
"47","shallow",2010,0,0
"48","shallow",2011,0,0
"49","shallow",2012,0,0
"50","shallow",2013,0,0
"51","shallow",2014,0,0
"52","shallow",2015,0,0
"53","shallow",2016,0,0
"54","shallow",2017,0,0
